ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-1.27244 -0.509282 0.079767 1.26055 -0.118117 0.763922 -0.391549 -0.759873 -0.390736 0.0934624 0.786969 -0.159829 -0.675835 -0.237976 1.368 -20.3 1.34 -8.788 -0.036 0.348 0.092
-1.27474 -0.510816 0.0809175 1.26247 -0.118884 0.762005 -0.392316 -0.748092 -0.388772 0.0836449 0.786576 -0.156687 -0.689187 -0.224624 1.464 -20.268 1.508 -8.756 -0.024 0.32 0.112
-1.27551 -0.511199 0.079767 1.26362 -0.1185 0.761238 -0.392699 -0.736703 -0.392699 0.0742201 0.790503 -0.150404 -0.700968 -0.219126 1.464 -20.268 1.54 -8.756 -0.008 0.328 0.12
-1.27627 -0.511966 0.079767 1.26515 -0.119651 0.760087 -0.393083 -0.733169 -0.39859 0.0726493 0.796786 -0.144513 -0.70568 -0.221875 1.496 -20.268 1.74 -8.724 0.0 0.32 0.112
-1.27857 -0.5135 0.0816845 1.26784 -0.120034 0.758937 -0.39385 -0.731206 -0.403302 0.0714712 0.800321 -0.146477 -0.703324 -0.224624 1.62 -20.3 1.908 -8.664 0.024 0.336 0.112
-1.28049 -0.513884 0.0801505 1.2686 -0.121184 0.756636 -0.394233 -0.726493 -0.411941 0.0742201 0.804248 -0.154331 -0.699397 -0.222268 1.524 -20.268 2.076 -8.696 0.024 0.308 0.14
-1.28164 -0.515034 0.080534 1.27014 -0.120801 0.755486 -0.395 -0.730813 -0.42333 0.0801106 0.812494 -0.166897 -0.698219 -0.221875 1.62 -20.3 2.008 -8.664 0.052 0.28 0.128
-1.28279 -0.515801 0.081301 1.27205 -0.121568 0.753952 -0.394617 -0.740238 -0.435111 0.0777544 0.820348 -0.18182 -0.702539 -0.226587 1.556 -20.332 2.212 -8.664 0.092 0.28 0.12
-1.28509 -0.516185 0.0801505 1.27359 -0.122335 0.752801 -0.395767 -0.74063 -0.444143 0.0683296 0.82938 -0.194386 -0.711963 -0.232478 1.62 -20.396 2.244 -8.636 0.128 0.308 0.148
-1.28509 -0.517719 0.0809175 1.27551 -0.123102 0.752034 -0.395767 -0.738274 -0.447284 0.0596903 0.837627 -0.20656 -0.720996 -0.23719 1.744 -20.332 2.312 -8.636 0.144 0.268 0.128
-1.28739 -0.518486 0.0816845 1.27666 -0.123102 0.750117 -0.395384 -0.737882 -0.448462 0.0530144 0.847445 -0.224624 -0.726493 -0.237976 1.62 -20.364 2.212 -8.572 0.184 0.308 0.156
-1.28854 -0.519252 0.082068 1.27857 -0.124636 0.748966 -0.395767 -0.732776 -0.448462 0.0530144 0.856477 -0.240725 -0.727671 -0.231692 1.588 -20.396 2.212 -8.572 0.212 0.3 0.128
