ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.48336 -0.658461 -0.430665 1.84308 0.668049 0.674185 1.38595 0.267035 0.570592 -0.283529 -1.3933 -0.444143 0.848623 0.613003 -4.36 -14.044 -7.744 -5.228 0.184 0.3 0.128
1.48336 -0.656927 -0.431049 1.83924 0.667665 0.675719 1.38672 0.272533 0.572555 -0.287848 -1.40076 -0.445713 0.848623 0.613396 -4.424 -14.012 -7.744 -5.228 0.156 0.268 0.14
1.48451 -0.656544 -0.431816 1.83656 0.666515 0.677636 1.38825 0.281958 0.573733 -0.283136 -1.40233 -0.448855 0.843125 0.607505 -4.424 -14.012 -7.812 -5.288 0.184 0.3 0.12
1.48489 -0.655393 -0.432583 1.83426 0.666131 0.678786 1.3894 0.288241 0.578446 -0.271355 -1.40586 -0.454746 0.83802 0.599259 -4.456 -14.076 -7.944 -5.32 0.184 0.28 0.112
1.48489 -0.653859 -0.432966 1.83234 0.665364 0.680704 1.39017 0.289419 0.580017 -0.259967 -1.409 -0.459065 0.836842 0.594154 -4.58 -14.14 -8.012 -5.352 0.172 0.308 0.128
1.48489 -0.652709 -0.433733 1.82812 0.664597 0.681471 1.39132 0.285492 0.580017 -0.25604 -1.40626 -0.45828 0.838413 0.590227 -4.392 -14.108 -7.912 -5.38 0.164 0.308 0.148
1.48719 -0.651942 -0.433733 1.8262 0.664597 0.683772 1.3917 0.280387 0.583158 -0.25604 -1.40783 -0.453175 0.83802 0.587085 -4.392 -14.076 -7.844 -5.412 0.136 0.336 0.168
1.48681 -0.650408 -0.434884 1.82352 0.663447 0.685689 1.39362 0.278816 0.582765 -0.259181 -1.41175 -0.442179 0.830951 0.573341 -4.58 -14.108 -7.844 -5.412 0.128 0.348 0.14
1.48758 -0.649257 -0.4345 1.82045 0.663447 0.687223 1.39401 0.277246 0.576875 -0.264679 -1.41254 -0.4249 0.828202 0.565094 -4.516 -14.108 -8.08 -5.412 0.1 0.348 0.1
1.48758 -0.648107 -0.434884 1.81777 0.661913 0.68799 1.39477 0.27057 0.570199 -0.266643 -1.41568 -0.4088 0.830166 0.561952 -4.424 -14.108 -7.876 -5.44 0.1 0.348 0.112
1.48796 -0.64734 -0.436034 1.81547 0.661146 0.690675 1.39592 0.264679 0.568236 -0.260359 -1.42196 -0.394663 0.826632 0.55724 -4.516 -14.204 -7.944 -5.44 0.064 0.368 0.12
1.48873 -0.646573 -0.435651 1.81125 0.660762 0.690675 1.39669 0.255254 0.570984 -0.252113 -1.42825 -0.387594 0.823097 0.548993 -4.58 -14.204 -8.044 -5.44 0.052 0.388 0.14
1.48834 -0.645422 -0.436418 1.80971 0.659228 0.693359 1.39822 0.242295 0.570984 -0.243473 -1.43571 -0.384845 0.821919 0.54271 -4.612 -14.204 -7.98 -5.472 0.016 0.396 0.12
1.48834 -0.644655 -0.436034 1.80703 0.659228 0.69451 1.39937 0.227765 0.56745 -0.234049 -1.44749 -0.383667 0.820741 0.53839 -4.8 -14.14 -7.98 -5.504 0.036 0.416 0.112
1.48873 -0.643121 -0.437185 1.80358 0.658461 0.697194 1.40014 0.209309 0.561952 -0.225017 -1.45613 -0.386416 0.821526 0.53682 -4.86 -14.236 -8.044 -5.504 0.024 0.404 0.12
1.48988 -0.641971 -0.437185 1.80128 0.657694 0.697961 1.40167 0.193601 0.554884 -0.216377 -1.4632 -0.38406 0.825061 0.537212 -4.736 -14.236 -8.112 -5.472 0.024 0.396 0.112
1.49065 -0.64082 -0.437568 1.79744 0.656544 0.699879 1.40206 0.182605 0.552528 -0.208131 -1.4683 -0.376991 0.82781 0.541139 -4.612 -14.172 -8.144 -5.504 0.052 0.404 0.112
1.49026 -0.640437 -0.438335 1.79514 0.65616 0.700646 1.40283 0.180642 0.556062 -0.200669 -1.47223 -0.372671 0.82349 0.544674 -4.768 -14.236 -8.144 -5.472 0.052 0.376 0.128
1.49065 -0.63852 -0.437952 1.79284 0.65501 0.703714 1.40398 0.182212 0.560774 -0.199884 -1.47301 -0.371101 0.815243 0.543103 -4.924 -14.172 -8.248 -5.472 0.064 0.376 0.14
1.49026 -0.637369 -0.439869 1.79054 0.65501 0.704864 1.40436 0.179071 0.564309 -0.200277 -1.46398 -0.368744 0.812494 0.536034 -4.828 -14.236 -8.312 -5.412 0.072 0.376 0.14
1.49065 -0.636219 -0.438719 1.78709 0.653859 0.706782 1.40513 0.168861 0.569021 -0.200277 -1.45063 -0.367174 0.82349 0.530144 -4.86 -14.236 -8.28 -5.38 0.052 0.388 0.12
1.49103 -0.635452 -0.440252 1.78517 0.652709 0.707932 1.40589 0.151582 0.574126 -0.203811 -1.43806 -0.367959 0.841554 0.505404 -4.956 -14.204 -8.312 -5.44 0.064 0.388 0.12
1.4918 -0.634685 -0.440252 1.78018 0.652325 0.70985 1.40704 0.131947 0.580409 -0.205382 -1.43414 -0.376206 0.857262 0.486947 -4.86 -14.236 -8.28 -5.44 0.072 0.368 0.156
1.49103 -0.633151 -0.440636 1.77788 0.651942 0.712534 1.40896 0.122129 0.583158 -0.204989 -1.44356 -0.38406 0.868258 0.47438 -4.828 -14.268 -8.348 -5.504 0.052 0.328 0.156
1.49218 -0.632384 -0.441019 1.7752 0.650408 0.712918 1.40934 0.118595 0.58198 -0.203025 -1.45966 -0.390343 0.878468 0.472024 -4.86 -14.268 -8.548 -5.504 0.052 0.32 0.128
