ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
-0.79767 -0.0751651 0.00191748 1.53206 0.00997088 0.158384 -0.00268447 0.126449 -0.107207 -0.00353429 -0.521112 0.106029 -0.032594 0.0215984 -0.684 -5.516 -0.332 -0.296 0.252 0.608 0.064
-0.79882 -0.0747816 0.00230097 1.53168 0.0107379 0.158384 -0.00268447 0.135481 -0.10917 -0.00392699 -0.518755 0.106814 -0.0219911 0.0164934 -0.684 -5.516 -0.332 -0.268 0.272 0.6 0.072
-0.798437 -0.0751651 0.00115049 1.53053 0.0115049 0.158767 -0.00268447 0.137837 -0.106421 -0.00274889 -0.511687 0.108385 -0.0106029 0.00785398 -0.62 -5.516 -0.3 -0.328 0.288 0.552 0.1
-0.79767 -0.0763155 0.00230097 1.52938 0.0115049 0.158767 -0.00306796 0.123308 -0.0985675 -0.00314159 -0.501869 0.115846 0.000785398 0.00274889 -0.62 -5.516 -0.264 -0.328 0.28 0.532 0.056
-0.798437 -0.075932 0.00153398 1.529 0.0118884 0.158384 -0.00306796 0.10328 -0.092677 -0.000392699 -0.495194 0.128413 0.011781 0.00431969 -0.592 -5.516 -0.264 -0.356 0.272 0.492 0.072
-0.797287 -0.0758042 0.00191748 1.52721 0.0123997 0.158256 -0.00319579 0.0858702 -0.0922843 0.00589049 -0.48158 0.14543 0.0205513 0.00405789 -0.62 -5.516 -0.321333 -0.337333 0.282667 0.477333 0.1
-0.797287 -0.0755486 0.00191748 1.52669 0.0126553 0.158 -0.00268447 0.0793252 -0.0930697 0.00667588 -0.473988 0.15276 0.0215984 0.0019635 -0.62 -5.516 -0.364 -0.356 0.288 0.464 0.1
-0.796903 -0.0763155 0.00191748 1.52554 0.0134223 0.157617 -0.00306796 0.0781471 -0.092677 0.00706858 -0.469668 0.159043 0.0141372 -0.00353429 -0.56 -5.484 -0.164 -0.356 0.288 0.444 0.072
-0.796136 -0.0763155 0.00230097 1.52478 0.0134223 0.158 -0.00345146 0.0785398 -0.0895354 0.00746128 -0.471239 0.166504 0.0015708 -0.00628319 -0.776 -5.388 -0.3 -0.388 0.28 0.464 0.056
-0.796903 -0.076699 0.00191748 1.52363 0.0134223 0.158 -0.00268447 0.0836449 -0.0895354 0.0121737 -0.475951 0.173966 -0.00942478 -0.00863938 -0.62 -5.388 -0.3 -0.388 0.3 0.464 0.084
-0.796903 -0.0763155 0.00230097 1.52286 0.0141893 0.158 -0.00268447 0.0946405 -0.0911062 0.0180642 -0.481449 0.178678 -0.0129591 -0.00903208 -0.808 -5.388 -0.164 -0.388 0.288 0.484 0.092
-0.795753 -0.0770825 0.00230097 1.52209 0.0145728 0.158 -0.00268447 0.106814 -0.084823 0.0231692 -0.484198 0.180642 -0.011781 -0.00549779 -0.592 -5.356 -0.2 -0.416 0.288 0.5 0.064
-0.795753 -0.0763155 0.00191748 1.52056 0.0153398 0.158 -0.00345146 0.108385 -0.0820741 0.0219911 -0.484198 0.184569 -0.011781 -0.000392699 -0.652 -5.356 -0.132 -0.416 0.288 0.532 0.072
-0.795753 -0.0763155 0.00115049 1.52056 0.0153398 0.157617 -0.00345146 0.114668 -0.0777544 0.0184569 -0.484198 0.190459 -0.0129591 -0.000392699 -0.56 -5.388 -0.332 -0.388 0.288 0.552 0.072
-0.796136 -0.0778495 0.00306796 1.51979 0.0157233 0.158 -0.00268447 0.122129 -0.0722566 0.0102102 -0.484198 0.197135 -0.0141372 -0.00706858 -0.776 -5.324 -0.264 -0.416 0.288 0.588 0.084
-0.795369 -0.076699 0.00230097 1.51864 0.0157233 0.157617 -0.00268447 0.128413 -0.0655807 0.00706858 -0.476737 0.20224 -0.0180642 -0.0106029 -0.56 -5.292 -0.164 -0.416 0.272 0.58 0.072
-0.794219 -0.0778495 0.00230097 1.51787 0.0164903 0.157233 -0.00306796 0.134696 -0.0604757 0.011781 -0.465348 0.203025 -0.0239546 -0.00628319 -0.716 -5.356 -0.232 -0.476 0.264 0.608 0.084
-0.794986 -0.078233 0.00191748 1.51711 0.0172573 0.157233 -0.00268447 0.14255 -0.0577268 0.0145299 -0.455924 0.201062 -0.0329867 -0.0011781 -0.808 -5.324 -0.332 -0.476 0.264 0.608 0.092
-0.794986 -0.078233 0.00230097 1.51596 0.0176408 0.157233 -0.00306796 0.146084 -0.060083 0.0125664 -0.448462 0.205382 -0.0396626 0.0015708 -0.56 -5.356 -0.4 -0.416 0.244 0.588 0.1
-0.794986 -0.0778495 0.00153398 1.51481 0.0176408 0.157617 -0.00345146 0.139015 -0.0683296 0.0106029 -0.441786 0.214414 -0.0400553 -0.000392699 -0.716 -5.356 -0.5 -0.416 0.244 0.58 0.064
-0.794602 -0.077466 0.00345146 1.51442 0.0184078 0.158 -0.00345146 0.124486 -0.0753982 0.00785398 -0.437074 0.218341 -0.0341648 -0.00824668 -0.652 -5.388 -0.5 -0.444 0.236 0.588 0.072
-0.794219 -0.0786165 0.00191748 1.51366 0.0187913 0.158 -0.00191748 0.105243 -0.0718639 0.0141372 -0.434325 0.215592 -0.0259181 -0.0153153 -0.748 -5.42 -0.432 -0.416 0.236 0.58 0.084
-0.794219 -0.0786165 0.00306796 1.51289 0.0191748 0.158 -0.00306796 0.0993529 -0.0714712 0.0161007 -0.431184 0.213628 -0.0164934 -0.0153153 -0.716 -5.42 -0.468 -0.416 0.228 0.58 0.1
-0.794986 -0.079 0.00230097 1.51212 0.0199418 0.158 -0.00268447 0.0918916 -0.0777544 0.0172788 -0.421366 0.213628 -0.00706858 -0.00589049 -0.748 -5.484 -0.432 -0.444 0.264 0.56 0.084
-0.793068 -0.0778495 0.00306796 1.51174 0.0199418 0.157617 -0.00191748 0.0899281 -0.0852157 0.0188496 -0.414298 0.21677 -0.00235619 0.00706858 -0.652 -5.484 -0.432 -0.388 0.264 0.56 0.176
-0.792301 -0.079767 0.00268447 1.51059 0.0207087 0.158 -0.00076699 0.0946405 -0.0875719 0.0219911 -0.409585 0.223838 -0.0015708 0.0302378 -0.808 -5.516 -0.568 -0.444 0.288 0.532 0.196
-0.793324 -0.0792557 0.00268447 1.50956 0.0213479 0.158 0.00102265 0.116239 -0.087441 0.0179333 -0.406705 0.228551 0.00222529 0.0840376 -0.6 -5.52533 -0.409333 -0.416 0.289333 0.530667 0.1
-0.793068 -0.079767 0.00268447 1.50905 0.0218592 0.158 0.00076699 0.126449 -0.0871792 0.0137445 -0.407229 0.229336 0.00667588 0.11781 -0.496 -5.544 -0.364 -0.416 0.308 0.512 0.044
-0.791534 -0.0786165 0.00268447 1.50829 0.0230097 0.158 0.00191748 0.133125 -0.0852157 0.0121737 -0.408014 0.234049 0.011781 0.175144 -0.372 -5.576 -0.532 -0.416 0.308 0.52 0.084
-0.791918 -0.0793835 0.00230097 1.50752 0.0233932 0.158 0.00268447 0.13823 -0.0820741 0.0102102 -0.406444 0.246615 0.0129591 0.225802 -0.152 -5.608 -0.332 -0.416 0.3 0.52 0.168
-0.792301 -0.0793835 0.00230097 1.50637 0.0233932 0.158767 0.00268447 0.141372 -0.0777544 0.00431969 -0.402909 0.260752 0.00903208 0.264679 0.216 -5.64 -0.432 -0.388 0.288 0.52 0.196
-0.791918 -0.079767 0.00230097 1.5056 0.0237767 0.158 0.00421845 0.142942 -0.0753982 0.0015708 -0.401731 0.27214 0.0113883 0.290205 0.528 -5.608 -0.4 -0.416 0.288 0.532 0.148
-0.791151 -0.080534 0.00191748 1.50599 0.0249272 0.158384 0.00536893 0.139801 -0.0777544 0.0019635 -0.403695 0.278031 0.0168861 0.32005 0.808 -5.64 -0.532 -0.416 0.264 0.532 0.128
-0.791151 -0.0793835 0.00306796 1.50445 0.0253107 0.157233 0.00613592 0.131947 -0.0856084 -0.0011781 -0.398197 0.282743 0.0188496 0.359712 0.9 -5.608 -0.468 -0.416 0.252 0.52 0.112
-0.791534 -0.0793835 0.00230097 1.50407 0.0260777 0.157617 0.0080534 0.131161 -0.0852157 -0.00431969 -0.388379 0.289027 0.0168861 0.39859 1.308 -5.576 -0.468 -0.416 0.236 0.52 0.14
-0.790767 -0.0801505 0.00153398 1.50407 0.0264612 0.158 0.0076699 0.13234 -0.069115 -0.00628319 -0.380133 0.296881 0.0121737 0.430791 1.62 -5.576 -0.568 -0.416 0.216 0.52 0.148
